date	time	id	reviewer name	reviewer address	contact number	variation	verified_reviews	sentiment	feedback
30-Jul-18	02:16:00	5138527	Theresa Diaz	"2373 Long Mews
South Lorraine, FL 83715"	7445448464	Black  Plus	Love my new Echo Plus	5	1
30-Jul-18	20:13:24	7881409	Michael Wagner	"34120 James Well Apt. 930
South Kenneth, AK 54666"	(202)233-6662	Configuration: Fire TV Stick	Works really well.	5	1
29-Jul-18	03:20:48	5658396	Erin Rodriguez	"7996 Booth Mission
Taylorport, AL 13457"	(219)882-0705	Black  Show	Echo Show is said to work with certain apps but,NOT!!! Cozi state works with Echo Show, but the Cozi Family’s doesn’t very well, Amazon needs to go back to drawing board, it would be such a needed piece of technology, but it lacks the essential, please fix. Cost of the Echo Show was  marvelous . Got Echo Show to take on shopping list but that is all so far, adding items to list has long lag, and it not my router being slow, my provider speed is !GB, speed not a problem, but before new items is updated on Cozi is very slow. Help is needed to get it updated to A1 working conditioning.	2	0
30-Jul-18	22:48:21	4317957	Christine Perez	"USS Schaefer
FPO AA 86432"	291-900-6087	Heather Gray Fabric 	Very cool product. Speaker sounds good with my Spotify blasting through it.	5	1
23-Jul-18	12:36:42	7570569	Jamie Davila	"000 Kevin Cliffs Suite 674
Brennanview, NM 77690"	9527296610	Black  Plus	So far I love it.  It was easy to set up - if I can do it anybody can.  Speakers are great and its fun to play my music with just a voice command!	5	1
30-Jul-18	04:39:03	1814408	Robin Vargas	"30936 Stephanie Ville
East Garrett, AS 60437"	(880)507-0368	White  Dot	Love it! Very helpful	5	1
30-Jul-18	12:45:10	8135362	Nicole Scott	"785 Green Valleys
North Christinaview, WA 46441"	599-628-9034	Sandstone Fabric 	it's annoying that everything they show Alexa as being able to do has to be downloaded. You spend so  much time trying to figure out how to phrase it for the machine that you may as well just look it up yourself	3	1
21-Jul-18	07:23:48	7758289	Mark Hood	"1402 Maureen Extension Apt. 703
East Maryfort, VA 59066"	6839784546	Black  Plus	I’m having trouble with it, the alarm most of times doesn’t work, the timer doesn’t ends... and Alexa keeps saying she is unavailable.	4	1
30-Jul-18	21:37:57	6796362	Brandon Marshall	"80166 Lopez Branch
Lake Amandaside, IN 42141"	447-580-2406	Charcoal Fabric 	It's Alexa.... what else can you say	5	1
30-Jul-18	23:33:46	1751801	Chloe Jordan	"29878 Castro Springs Apt. 149
Smithville, OK 73141"	(720)645-1578	Black  Dot	This product is easy to use and very entertaining.  I have yet to hook it up to my TV or lights but look forward to doing so.	4	1
25-Jul-18	10:47:45	421042	Brandon Turner	"5413 William Glen Suite 499
South Jimmyport, NC 04692"	(514)646-1168	Black  Plus	Totally enjoy our new Echo Plus.  Great for fast facts and listening to Beautiful Music.  We are just getting started with all the benefits.	5	1
30-Jul-18	04:15:08	1930958	Jennifer Dennis	"PSC 9867, Box 7576
APO AA 61847"	943-723-3532	Configuration: Fire TV Stick	We love our fire stick!! The Alexa voice control is fantastic for my younger kids!!	5	1
23-Jul-18	19:25:36	2353178	Terry Wolf	"262 Amy Cape
New Nathan, AZ 29460"	2977138506	Black	Great for my office. I use this daily in many ways, to include spelling for me and background music.	5	1
30-Jul-18	22:41:36	8627319	Mario Parker	"3281 Crystal Extensions Suite 519
Rangelland, MD 79063"	9392128650	Heather Gray Fabric 	She doesn’t always listen	5	1
16-May-18	22:02:44	7113003	Kelly Bridges	"7469 Greene Street
Jeanettefurt, FL 09996"	9853655159	White	It works just as well as the new version I got as a discount with my Echo speaker. I decided to purchase this version because Amazon states it has the same warranty.	5	1
23-Jul-18	19:37:21	2908651	Amanda Pollard	"PSC 7303, Box 1698
APO AA 40627"	(958)572-8181	Black  Spot	Love the Spot - Awesome little guy with precise video - I’m saving to buy one for my mom on the east coast - The Spot changes Everything as far as keeping your loved ones connected!!!Well worth every Cent!!	5	1
30-Jul-18	10:07:03	7340242	Edward Peterson	"167 Mendez Forks
Elliottmouth, KS 47535"	8196500276	Black  Dot	The only negative we have on this product is the terrible sound quality.  A massive difference from the Alexa.  Which to us was a big reason we wanted to purchase this.Won’t be buying another until the speaker and sound quality can improve.	2	0
30-Jul-18	03:09:08	7165895	Heidi Cobb	"553 Knight Keys Apt. 181
West Rachelville, OK 16193"	8544520120	Heather Gray Fabric 	The speaker has excellent sound and works perfectly!	5	1
30-Jul-18	14:53:24	2506423	James Davenport	"84943 Shelby Square Suite 340
South James, PR 70756"	803-267-5432	Black  Dot	Small convenient and dependable. This dot is a cutie and Alexa does the job you ask.My only issue is the fidelity which is to be expected in a such a small speaker	4	1
29-Jul-18	06:07:09	1042787	Nicholas Stewart	"148 Good Motorway
Port Timothy, GU 92353"	388-974-5364	Black  Show	Works great and has been fun to use.	5	1
29-Jul-18	22:21:33	3988676	Michelle Walker	"6098 Clay Rue Apt. 496
North Brettton, NY 89029"	(579)354-9413	Sandstone Fabric 	This echo is just as great as my others, even though it is smaller.	5	1
30-Jul-18	04:20:31	912893	Joseph Bailey	"29358 Leon Crossing
North Joseph, TX 12169"	(875)979-0313	Charcoal Fabric 	Just had to have it and now lets play and learn how to get the most out of it.	5	1
29-Jul-18	05:38:18	4120805	Samuel Sherman	"592 Velez Forge
Whitakertown, DE 56474"	(788)261-7631	Charcoal Fabric 	Supberb sound! Definitely worth the extra money if you listen to lots of music.	5	1
30-Jul-18	20:53:34	3045799	Amber Love	"65044 Nancy Prairie
Alvareztown, MP 53699"	336-565-1626	Configuration: Fire TV Stick	Great product	5	1
29-Jul-18	10:11:32	4547044	Pamela Fox	"871 Crystal Villages Apt. 864
New Brentview, OH 92470"	(787)909-8548	Charcoal Fabric 	This was given to my 7 year at the time as a birthday gift from his dad. He loves it, ask Alexa anything she has the answer, plus it’s good for homework. So I purchased one on prime day for my bathroom for when I’m getting ready for work. I listen to music at 4am and the base it’s metro booming.. Replacement for my clock radio, plus I have the echo dot on my night stand as my alarm clock..	5	1
30-Jul-18	15:24:34	1210644	Sarah Townsend	"52150 Moses Forges
Davidburgh, RI 51439"	5978711385	Heather Gray Fabric 	Did t really know what I could use this device for. Used it for a few things, but need an overview	4	1
30-Jul-18	10:39:26	1787704	Chase Wyatt	"1128 Charles Hollow
Jordanburgh, NV 57600"	478-250-8872	Configuration: Fire TV Stick	I love how fast you get a respond from Alexa.Also easy to find any thing you are looking forjust speak in to the remote.	5	1
30-Jul-18	23:46:12	446928	William Martin	"Unit 6237 Box 9632
DPO AE 29433"	864-296-2775	Charcoal Fabric 	Everyone should have an Echo or two or three or more. I bought my Echo through QVC.	5	1
30-Jul-18	21:48:51	474129	Vanessa Jones	"44560 Coffey View
Thomasfurt, MS 68864"	716-832-1357	White  Dot	I love all of the things that it can do. I can play with it and learn from it.	5	1
17-Jul-18	04:38:56	6221534	Robin Matthews	"Unit 9572 Box 0507
DPO AA 23511"	2926411252	White  Spot	Much easier to use than the dot. It picks up my voice from farther away and the speakers seem a lot cleaner sounding The screen is a nice perk but I only use it at bed time to listen to prime shows before bed, the screen is too small to watch shows..It displays my alarm in print so I know Alexa heard me correctly. and you can make you own clock face with personal pictures.  My only complaint is that they don't add the stand as standard. I didn't need it for my spot at my desk but definitely needed it beside the bed.Many people complain about the basic Alexa program but it is still such new tech that I'm not going to split hairs.  The echo was not as good as my dot and the spot is better than dot.  Alexa gets better over time and the skills are increasing weekly. Now Alexa even tells the difference between my son and my voice. I think Amazon is working overtime on this project. I gave feedback to ask to be able to have self made lists and now you can make and name lists for anything.I am so used to my Alexa that I talk to her even when I'm staying in a hotel and she's no where to be found.  Alexa, what time is it?  ALEXA???!!	4	1
30-Jul-18	09:37:29	920939	Daniel Hernandez	"11799 Welch Springs
Darleneton, NE 84305"	5265944975	White  Dot	Still learning everything she can do.  Good for a room.  Volume is pretty good without an additional speaker	5	1
5-Jun-18	12:25:07	3868220	Brian Murphy	"05412 Powell Ville
Matthewton, PR 94700"	798-431-1887	White	Good as new! Perfectly packaged and I have had zero issues with the dot.	5	1
27-Jun-18	14:41:16	7156821	Jeffrey Sellers	"97624 Taylor Plains
Andrewsfurt, VI 11597"	7415771072	Black	Same as new	5	1
30-Jul-18	10:44:59	1013336	Robert Mitchell	"4553 Evans Club Suite 834
South Wendy, WA 18567"	6413488051	Black  Spot	I like how small it is, but I’m still able to see my Ring cameras.	4	1
30-Jul-18	22:07:40	2295042	Patrick Joseph	"69585 Hayes Mission Suite 949
Leonardland, AL 42971"	(214)363-6680	Black  Dot	I'm still learning how to use it.  I figured out it can read my kindle books to me, which is a real bonus.	5	1
30-Jul-18	10:09:59	7844154	Jesse Campos	"PSC 5381, Box 3966
APO AP 41878"	367-873-5873	Black  Dot	I love how compact it is.	5	1
30-Jul-18	17:47:20	7411739	Martha Hughes	"02551 Ponce Alley
Johntown, WI 59310"	(678)491-8888	White  Dot	it takes a while to learn the uses and I'm still learning!	5	1
30-Jul-18	21:18:01	5626446	Colleen Richards	"201 Anderson Coves Apt. 389
Hayesfurt, IN 90248"	(460)443-5151	Black  Dot	It talks to me, plays the type of music i want to listen to, and even turns off when I ask if to.	5	1
30-Jul-18	03:04:17	5811087	James Adams	"77773 Jennifer Pass
West Josefort, NV 79404"	497-444-5727	White  Dot	Love this!!! My daughter enjoys telling Alexa what to do. Haha	5	1
25-Jul-18	20:49:40	5447786	Sharon Mitchell	"0136 Jessica Circles Apt. 391
New Sheri, DC 08927"	(233)374-8663	Black  Spot	I switched to google. The amazon helper is more for shopping, and google is the tasks assistant.	2	0
18-Jul-18	09:21:58	4443997	Jamie Brown	"76750 Matthew Tunnel Suite 121
Port Lauren, MN 43493"	(323)647-9372	Black  Spot	Surprisingly good beefy sound out of this thing. I think it might shape up to be one of my favorite echo devices. I have nearly all of them. ;-)	5	1
28-Jul-18	23:12:46	6181490	Kaylee Valdez	"99395 Rivera Village Apt. 818
New Latoyaton, AR 15026"	(224)849-2381	Black  Show	I like the variety of stuff that the echo show offers.	5	1
8-Jul-18	14:31:56	244228	Bruce Howard	"9595 Robin Ports Suite 512
South Joseph, DC 95259"	8417983427	White  Plus	The sound of the speaker is better than the other Echo I own!	5	1
30-Jul-18	06:53:31	4789961	Johnny Smith	"PSC 5360, Box 8040
APO AE 72472"	4236091068	Configuration: Fire TV Stick	We like it better than Roku.  Voice commands really work.	5	1
30-Jul-18	15:14:56	5350235	Kimberly Bennett	"4096 Diane Extensions
South Brian, PA 10532"	(826)742-4218	Configuration: Fire TV Stick	Works like a charm...	5	1
30-Jul-18	03:02:18	6014711	Laura Hernandez	"953 Raymond Ferry
Port Richard, KY 27973"	(791)809-5916	Black  Dot	its okay but keeps dropping wifi!	3	1
28-Jul-18	09:39:22	5397671	Ryan Wiggins	"110 Sanchez Spur
West Matthew, IL 94240"	8157909717	Black  Show	These things are great!	5	1
22-Jul-18	13:45:52	5085338	Robert Smith	"115 Perez Coves Apt. 350
South Tracyborough, HI 03802"	907-945-3905	White  Spot	The most fascinating thing I've ever bought	5	1
29-Jul-18	23:20:22	2811900	Jonathan Scott	"21202 Jeffrey Shoal Suite 288
East Manuel, NH 89110"	(715)675-1611	Charcoal Fabric 	I have had all good experience, so far with the second generation Echo. There are so many more things to learn, but I have not had the time yet. Right now, I am mostly enjoying the music, weather updates, using the alarm feature, and her personality. I have also purchased some mini smart socket yes. I am very excited to begin using them	5	1
30-Jul-18	18:45:46	2974314	David Barnes	"82171 Erica Estate Suite 688
Neiltown, UT 05103"	631-868-8217	Heather Gray Fabric 	Works great! Killer speaker! My wife and son love it.	5	1
6-Jun-18	21:37:08	3880512	Courtney Johnston	"15171 Dawn Field Apt. 846
East Mackenzie, AL 92928"	(590)726-4395	Black	Absolutly love it !	5	1
30-Jul-18	20:33:23	3926950	Joseph Sexton	"2197 Reginald Oval Suite 500
Port Nicoleville, AK 42844"	861-260-9380	Black  Dot	When you think about it this really doesn’t do much. Play music, answer stupid questions, finally it was able to hook up to thermostat. I can see why price is dropping like a rock.	2	0
30-Jul-18	21:26:52	4150628	Margaret Bates	"PSC 8264, Box 2280
APO AA 37611"	621-269-5467	Configuration: Fire TV Stick	 	2	0
28-Jul-18	10:10:34	3423530	Andrew Kirk	"3578 Patel Canyon
West Rachel, PR 70297"	(473)455-6803	Black  Show	Great Product	4	1
24-Jul-18	07:18:12	4230942	Lindsey Phillips	"2661 Montgomery Trail Suite 838
Jacobton, NM 96955"	3792641805	Black  Plus	The Echo does not link to Direct tv even though they said it would. I have spent multiple hours on this. Made phone calls and texts. Also is missing free bulb.	2	0
29-Jul-18	09:44:17	1145931	Charles Scott	"427 Johnson Overpass
Port Xavierview, WV 71790"	257-440-3173	Black  Spot	Love it!	5	1
25-Jun-18	01:26:09	2517570	Joseph Carroll	"0369 Lindsey Village Suite 665
South Connieport, MP 28322"	(822)870-8659	Black	The refurbished echo for has been wonderful. I purchased this for my mother. She loves the ability to contact me without a phone, listen to music, weather, and ask questions. It's been a wonderful gift and works excellently with no problems	5	1
30-Jul-18	17:45:57	5916160	Anthony Smith	"536 Thomas Prairie
New Nicholasfurt, FL 41279"	(593)632-0110	Heather Gray Fabric 	Love it - am using it strictly for music now and it's great!	5	1
17-Jul-18	12:02:27	3637779	Pamela Wright	"711 Calvin Landing
West Melanie, WA 99347"	2028595805	Black  Spot	Fairly useless.	2	0
30-Jul-18	14:33:22	6528134	Bryan Santiago	"5326 William Lane Apt. 170
Torresland, ME 40076"	2514553907	Charcoal Fabric 	Works as you’d expect and then some. Also good sound quality considering price (70.00 on sale) and features.	5	1
29-Jul-18	15:04:04	1847100	Morgan Norman	"70275 Cruz Lights
Heatherhaven, MN 83178"	379-868-7150	Charcoal Fabric 	I bought this to replace a &#34;Dot&#34; in my living room. Speaker is slightly better. It hears me better over the TV. Unfortunately, it doesn't understand or respond to my requests as well as the Dot. I frequently have to request 2 or 3 times to get it to do what I want. The Dot usually does exactly what I want on the first request. I don't consider it an upgrade.	3	1
28-Jul-18	14:32:13	7134785	Larry White	"397 Kevin Islands Apt. 439
East Matthewburgh, OR 48995"	282-500-5882	Black  Show	If you belong to amazon prime, I would think that you could watch any video on it that was in the library.  You can with prime music	3	1
30-Jul-18	06:32:30	2655120	Kevin Marquez	"USS Walls
FPO AE 11945"	958-842-6111	Configuration: Fire TV Stick	Loved it.	5	1
11-Jul-18	09:57:44	6407298	Lindsey Sanchez MD	"68766 Koch Estate Suite 569
Brownmouth, NV 64122"	3589387295	White  Plus	Get this in white. I bought it for my girlfriend in white and I wish I had it in white now. Alexa is one of those devices you will always use and miss when it's not around. I find new uses for Alexa every day. I've Incorporated this device into so many parts of my daily life. As Alexa learns more I learn more. She's my alarm clock, she reminds me of important dates. I'm constantly asking her for information like travel, entertainment, science, history, politics Etc. She turns on and off lights, she's the core of my smart home.	5	1
28-Jul-18	18:15:21	4646012	Roy Oconnor	"843 Amanda Unions Apt. 448
Amyville, SC 71544"	5169259374	Black  Plus	I purchased the Echo Plus with the Build-in Hub, so I could have the convenience of asking Alexa to turn my lights and lamps on and off.  Philips Hue Light Bulbs were placed in the fixtures that I wanted Alexa to control and they all work great!  I already had an Echo Dot in my Kitchen/Den area, so I placed the Echo Plus with Hub in my bedroom. My radio and lamps in my Kitchen and Den are controlled with TP-Link plugs.  But, the ceiling light fixtures and lamp in my Den and Bedroom have special Philips Hue Light Bulbs that are controlled by the Hub inside the Echo Plus.  I am able to play music, set my alarm, get weather reports and numerous other things on both devices.  The Echo Dot requires a TP-Link plug to be plugged into it and the Echo Plus requires a special Philips Light Bulbs installed in each light fixture to work..  The only thing I dislike is the high price of the light bulbs required to make the lights work. Regular light bulbs placed in the ceiling light fixtures will not work with Alexa and  the Echo Plus with Hub.  Other than the high price of the bulbs, I love my Echo Plus with built in hub!	5	1
24-Jul-18	09:29:22	615593	Margaret Spears	"521 Franklin Loaf
Margaretborough, SD 73655"	9362438401	Black  Plus	I'll be returning it.  It's been nothing but annoying.  The hub can't be turned off if not needed and it interferes with my Hue Bridge.  I can't even install Philips lights with it unless I unplug it to do so.  There are plenty of other reviews that go in depth with the issues.  Bottom line is it sucks as a hub.  It doesn't support z-wave and zigbee (which in fairness I knew in advance), but when the one protocol it does support doesn't do many functions that a dedicated one will, what's the point?  I noticed right away that my Philips Hue Bridge supports firmware upgrades to the light bulbs themselves and this doesn't.  I found that rather interesting.	1	0
28-Jul-18	06:01:17	2801404	Anne Walls	"Unit 5354 Box 0845
DPO AE 88979"	640-715-8436	Black  Spot	no problem	5	1
20-Jul-18	18:48:08	7525523	Darrell King	"37107 Johnny Run Apt. 400
East Stevenberg, AR 57827"	8358317341	Black  Plus	I bought this for myself and i didn’t realize it had to be plugged in just to work. It isn’t convenient to make them always have to connect to a wall. It should’ve been more clear when i bought it.	1	0
26-Jul-18	19:34:38	1712852	Robert Frost	"8482 Emily Lake Suite 993
North Theresatown, NY 19529"	698-704-3555	White  Spot	I love it the coolest thing since sliced bread	5	1
30-Jul-18	18:34:17	1783431	Matthew Clayton	"9195 Manuel Manor Apt. 437
West Rodney, TN 78722"	228-682-6472	Black  Plus	Tons of features and skills, and a very good speaker with plenty of bass for music. You still need some work on the AI, in responding to random questions though. My Android phone is far better at those... with the Echo I still get a lot of &#34;hmm, I'm not sure&#34; or &#34;I don't have an opinion on that.&#34;	4	1
30-Jul-18	23:32:26	7940480	Jennifer Baker	"221 Dunn Key Suite 559
Transhire, OH 36715"	7974838826	Black  Show	My difficulty is I dont have a cell phone,and now you cant download the alexa app on a Mac book air.  SO I am stuck, unable to program my echo show properly. In my opinion you should be able to tell the echo show what you need done. and the echo show does it. every time i ask for something I am referred back to the alexa app.on your mobile device, which I cannot access.To me this is not intelagence but dependence on other equipment to function.Every thing today is pushed to the phone,  because the phone has been made accessable,  to all those who wish  to gather information	4	1
30-Jul-18	08:35:40	7534340	Kathy Hudson	"64793 Christopher Wells Suite 628
Hannahport, TX 21464"	4687792357	Configuration: Fire TV Stick	very easy to set up and very easy to use	5	1
30-Jul-18	01:52:33	675116	Hunter Reyes	"4646 Jennifer Rapid
Chelseashire, VA 06333"	(324)723-0938	Configuration: Fire TV Stick	I love the firestick ! It's easy to set up and use. It rarely stops to buffer and. It  would be a bargain at twice the price.	5	1
30-Jul-18	21:21:10	3668168	Carlos Smith	"67012 John Fords
Lake Chelseaberg, NM 32532"	8815301699	White  Dot	Great. Definitely gets a little old after a while but for $30 I can't really regret it at all. Love having it hooked up to my speakers via bluetooth and waking up to The Smiths.	5	1
5-Jul-18	07:37:50	2613312	Christopher Wilson	"59447 Anita Heights
New Whitneyton, TX 90003"	371-615-3473	Black  Plus	STILL TRYING TO LINK TO MY SON'S AND DAUGHTER'S IN THEIR ROOMS...	5	1
28-Jul-18	10:22:46	4172638	Connie Campbell	"4343 Rebecca Fords
Port Patrickburgh, PR 91481"	(462)606-6788	White  Plus	My first smart buy..I am loving it and all the great things Alexa can do.	5	1
17-Jul-18	12:02:17	8432772	Gary Lopez	"9771 Hendricks Fall
North Lawrenceborough, CO 18651"	(218)938-0713	Black  Spot	Bought the spot and loved it. Within months it started acting funny and would stop working—called and they determined that it was overheating. I was told to unplug and technical support would call within 24-48 hours. Waited 48 hours without response and replied to email and was asked to wait a week. A week goes by with absolutely no response so I do the inline chat per instructions. Told to wait longer. REALLY????  Unacceptable—expected more from Amazon. Find it funny how they always thank me for being a Prime member but when an issue arises I cannot even get assistance.	1	0
30-Jul-18	03:12:59	3804872	Matthew Haynes	"668 Hamilton Creek
Zacharystad, AK 01790"	(734)546-9148	Configuration: Fire TV Stick	Easy to use and fast setup	5	1
28-Jul-18	07:03:11	5819549	Tara Harmon	"915 Randolph Points
Jacquelinestad, DC 18559"	776-522-0242	White  Show	An outstanding piece of Technology, I use it everyday for information, scheduling and general information.  Awesome Amazon, keep improving with AI.	5	1
20-Jul-18	21:37:05	5569538	Stephanie Klein	"05543 Anderson Crescent
Port Ronald, MH 98471"	8195121541	Black  Plus	I got it to try side by side with the Echo originale. They are essentially the same in dimension, weight and the woofer is the same save for the smaller tweeter point up instead of down and the built in hub. As many folks already pointed out, the hub is not a direct replacement for the Philips Hue, Z wave or anything else. It provides a sub set of features available from the stand alone hub and you ended up losing functionality that you took for granted on the dedicated hub. For me, the voice recognition and music play capability is the same, the original Echo may have an edge on the volume department due to larger speakers. The new Echo plus is priced lower than the original Echo with the built in hub but I don't really need the hub with less functionality. In addition, I don't think that Amazon will have software updates for this hub as other dedicated hub would have so bugs could end up never fixed. My Philips hub gets software update probably once every couple months and it keeps up with the changes in the new bulbs FW and they fixes bugs. Net net for me, this Echo does not do anything more than the original Echo and sound quality is not as good. With the  original Echo available as refurbished I would check that out first before considering this or the new Echo which is clearly inferior to both of these.	4	1
28-Jul-18	15:30:29	8544902	Tracy Lindsey	"70429 Randolph Mountain Suite 377
West Jennifershire, DC 95543"	(989)903-9525	Black  Show	Let’s start with.Dislikes: Now I want to buy 7 more to have them all over my house.Do I even need to add my likes now? HahaAwesome fun and useful. Nothing else to say.	5	1
30-Jul-18	01:05:28	6174860	Jorge Wilson	"83635 Michael Alley
Amyhaven, DE 43863"	2692627653	Configuration: Fire TV Stick	Really enjoying my firestick can’t wait to get rid of  cable such a waste of money.	5	1
28-Jul-18	14:19:38	2901121	Allison Duran	"2816 Jacob Drive Apt. 888
East Maria, ND 12560"	4509238855	White  Show	We like the video calling feature. We got this so we can be in contact with our elderly parents and it works well	5	1
17-Jul-18	11:53:05	5355525	Stephen Wong	"355 Brian Village
Perezmouth, ME 23763"	698-820-9959	Black	Great buy. Bought this to go with my Echo and love it. The speaker isn’t the best for music but works great in a kitchen for timers or alarms.	5	1
19-Jul-18	22:28:40	8278238	Richard Gomez	"279 Mckenzie Islands
Port Angel, NV 37794"	(571)806-8931	Black  Spot	Got one for me and for my son on Prime Day. We love them! I want one in every room, but that would be excessive.	5	1
2-Jun-18	14:36:49	1007407	Elizabeth Pearson	"992 John Burgs Suite 048
South Rachel, PR 29320"	895-806-3298	Black	Works good.  Microphone is not as good as the better Echo products	5	1
30-Jul-18	12:05:42	5154163	Francisco Townsend	"49185 Henry Cliff
West Wayne, UT 69586"	(540)329-1213	Configuration: Fire TV Stick	I like my Amazon Fire stick I use it for my TV thank you for your help when I called you to get further instructions how to use it thank you have a good evening	5	1
31-Jul-18	04:11:31	6549106	Caroline Perkins	"335 Salazar Harbors
Lake David, SC 83524"	5769950097	Black  Dot	I like how it will connect to bluetooth without an adapter like the Google. Only reason for 4 stars is volume level without external speaker. Easy to use.	4	1
26-Jul-18	09:23:00	2414752	Raymond Johnston	"785 Brandon Crossing Suite 453
South Brittany, NE 79009"	4579022338	White  Plus	Doesn't seem to hear as well as my 2nd Generation Echo and WHY is there no volume buttons on it?!	3	1
30-Jul-18	10:34:26	247227	Christopher Bailey	"9975 Timothy Locks Suite 173
Michaelchester, OK 06415"	414-863-3691	Heather Gray Fabric 	She doesn’t always listen	5	1
30-Jul-18	03:52:33	5893769	Johnny Mitchell	"7199 Mark Station
North Jonathon, GU 89923"	623-539-5721	White  Dot	as expected	5	1
26-Jul-18	20:53:38	5195865	Julie Johnson	"48485 Stewart Circles Apt. 271
New Zacharyborough, RI 01884"	(645)950-0172	Black  Plus	Like it. Still working discovery. Really too soon to fully evaluate. But looking forward to learning and using it.	5	1
18-Jul-18	02:57:17	6255661	Samuel Robinson	"Unit 7171 Box 0145
DPO AP 88499"	2137369339	Black  Plus	The sound quality is really quite good. I also have a Dot which is Bluetooth linked to a Grace Digital amplifier which is driving a couple of floor standing Snell speakers, obvious the floor standing speakers are better than this but not by much. My only complaint is that you can't customize Alexa hot words. Now that I have multiple Alexa devices there needs to be a way to direct an Alexa command to a particular device. I would like to be able to talk to a device by name.	5	1
29-Jul-18	17:18:08	955418	Gloria Prince	"03256 Malone Freeway
East Jonathan, NY 06214"	5775698008	Heather Gray Fabric 	This is a great product!  Set up was easy.  Sound is wonderful.	5	1
28-Jul-18	20:55:41	6019114	Andrew Spears	"84687 Wilson Parkway Apt. 237
Taylorshire, MA 76610"	624-593-6145	Black  Spot	Big step up from the Dot! Dropped one star due to consistent delay in bringing up Ring Pro video, though looks great once the feed is displayed.	4	1
16-Jul-18	16:07:33	6098212	Anthony Campbell	"PSC 4275, Box 8754
APO AA 01263"	(439)398-8358	Black  Plus	Pros- plenty loud for a large room with high ceilings.Cons - the hub doesn’t do anything.  It doesn’t work with z wave (as it states), it doesn’t take voice commands for SmartThings, which I had to buy since the hub doesn’t work for z wave.It also sounds muffled and there is no way to control the EQ. (Not sure if that is on all models, but the Dots we have are clear.For the money, buy an echo dot or echo (2nd generation).  The echo dot takes voice commands for the smart things hub, go figure, and the audio is clear. The dot also seems to hear my voice better and almost at a whisper.	3	1
30-Jul-18	19:05:47	1009340	Christopher Brewer	"599 Harris Road Suite 741
South Olivia, MO 28378"	(327)218-9462	Black  Dot	Love it.. makes the simple things in life simpler	5	1
